itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:151122,?,1,1,680,Merchant,Etlol,1632125163,Vendor
i:116392,Big Bag of Booty,1,3,3000000,Merchant,Etlol,1632126811,Vendor
i:116392,Big Bag of Booty,10,10,3000000,Merchant,Etlol,1632126829,Vendor
i:9260,Volatile Rum,1,9,1600,Merchant,Etlol,1632126903,Vendor
i:9260,Volatile Rum,10,40,1600,Merchant,Etlol,1632126942,Vendor
i:9260,Volatile Rum,8,8,700,Unliver,Etlol,1632216039,Auction
i:172419,Enchant Boots - Eternal Agility,1,1,2108800,Griid,Etlol,1632216111,Auction
i:163158,?,1,1,20000,Merchant,Etlol,1632389499,Vendor
i:178219,Mulled Faewine,1,1,32400,Merchant,Etlol,1632389502,Vendor
i:172366,Enchant Weapon - Celestial Guidance,1,1,2448500,Sarahwit,Etlol,1632223836,Auction
i:172366,Enchant Weapon - Celestial Guidance,1,1,2329700,Powercentre,Etlol,1632561158,Auction
i:184308,Disposable Spectrophasic Reanimator,15,15,3250000,Doggonator,Etlol,1632561596,Auction
i:140332,Rivermane War Harness,1,1,250000,Merchant,Etlol,1632566389,Vendor
i:186363::4:1459:6646:6652:7186,?,1,1,636740,Merchant,Etlol,1632684036,Vendor
i:185894::4:1479:6646:6652:7574,?,1,1,538791,Merchant,Etlol,1632684037,Vendor
i:128841,?,1,1,10000,Merchant,Etlol,1632824517,Vendor
i:138869,?,1,1,9900,Merchant,Etlol,1632824523,Vendor
i:166420,?,1,1,32400,Merchant,Etlol,1632824942,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1633182244,Vendor
i:116397,?,1,1,40000,Merchant,Etlol,1633231563,Vendor
i:177659,Enchant Chest - Eternal Skirmish,1,1,1988400,Squeebo,Etlol,1633438006,Auction
i:177659,Enchant Chest - Eternal Skirmish,1,1,1987600,Gnie,Etlol,1633501997,Auction
i:92794,?,1,2,8000,Merchant,Etlol,1633502191,Vendor
i:78910,?,1,2,25600,Merchant,Etlol,1633502263,Vendor
i:30817,Simple Flour,5,5,4,Merchant,Etlol,1633504903,Vendor
i:138870,?,1,1,9900,Merchant,Etlol,1633504927,Vendor
i:138871,?,1,1,9900,Merchant,Etlol,1633504932,Vendor
i:138868,?,1,1,9900,Merchant,Etlol,1633504933,Vendor
i:138869,?,1,1,9900,Merchant,Etlol,1633504949,Vendor
i:182749,Regurgitated Kyrian Wings,1,1,100000,Merchant,Etlol,1633607820,Vendor
i:30817,Simple Flour,5,5,4,Merchant,Etlol,1636017561,Vendor
i:78904,?,1,2,8000,Merchant,Etlol,1636017683,Vendor
i:92794,?,1,1,8000,Merchant,Etlol,1636017798,Vendor
i:124670,?,1,1,1,Merchant,Etlol,1636020501,Vendor
i:78910,?,1,2,25600,Merchant,Etlol,1636089259,Vendor
i:185884::3:1492:6646:6652,?,1,1,832139,Merchant,Etlol,1636091936,Vendor
i:171285,Shadowcore Oil,6,6,79900,Hitdat,Etlol,1636021685,Auction
i:171437,Shaded Sharpening Stone,18,18,97500,Skarrd,Etlol,1636093390,Auction
i:171276,Spectral Flask of Power,5,5,3980000,Multiple Sellers,Etlol,1636093429,Auction
i:136377,Oversized Bobber,5,10,3520,Merchant,Etlol,1636146531,Vendor
i:71153,?,2,2,65,Merchant,Etlol,1636158478,Vendor
i:188152,Gateway Control Shard,1,1,1000000,Merchant,Etlol,1636779589,Vendor
i:116925,?,1,1,2000,Merchant,Etlol,1636779616,Vendor
i:173168,Laestrite Setting,1,2,10000,Merchant,Etlol,1636791635,Vendor
i:171285,Shadowcore Oil,9,9,150000,Multiple Sellers,Etlol,1636791134,Auction
i:116397,?,1,1,40000,Merchant,Etlol,1636875757,Vendor
i:172317::2:1559:7451,Umbrahide Helm,1,1,1563013500,Clare,Etlol,1636878978,Auction
i:173163,Missive of Versatility,1,1,4717500,Shnickerss,Etlol,1636879250,Auction
i:172053,Tenebrous Ribs,8,8,625,Merchant,Etlol,1637051560,Vendor
i:172055,Phantasmal Haunch,4,4,625,Merchant,Etlol,1637051640,Vendor
i:173161,Missive of Critical Strike,1,1,1509100,Ginormodikus,Etlol,1637073151,Auction
i:178926::2:1559:7451,Shadowghast Ring,1,1,1049790000,Nicekiss,Etlol,1637073059,Auction
i:173168,Laestrite Setting,1,1,10000,Merchant,Etlol,1637299923,Vendor
i:172364,Enchant Ring - Tenet of Versatility,1,1,832100,Powercentre,Etlol,1637300013,Auction
i:171285,Shadowcore Oil,15,15,140000,Onedayy,Etlol,1637301061,Auction
i:171349,Potion of Phantom Fire,10,10,1524600,Multiple Sellers,Etlol,1637301081,Auction
i:171276,Spectral Flask of Power,2,2,3009900,Vending,Etlol,1637301099,Auction
i:171437,Shaded Sharpening Stone,14,14,98800,Rageinar,Etlol,1637301108,Auction
i:12231,Recipe: Jungle Stew,1,1,2951200,Fuzzydunlop,Etlol,1637795182,Auction
i:12232,Recipe: Carrion Surprise,1,1,2901900,Fuzzydunlop,Etlol,1637795212,Auction
i:45768,Glyph of Disguise,1,1,4787400,Obvious,Etlol,1637795227,Auction
i:183954,Malleable Wire,10,10,90000,Merchant,Etlol,1637795497,Vendor
i:178926::2:1559:7451,Shadowghast Ring,1,1,774879900,Pastapillow,Etlol,1637795829,Auction
i:173161,Missive of Critical Strike,1,1,4000000,Karpenko,Etlol,1637795935,Auction
i:171285,Shadowcore Oil,8,8,157600,Wanamdeebee,Etlol,1638104698,Auction
i:171349,Potion of Phantom Fire,10,10,1200000,Cherrybullet,Etlol,1638104711,Auction
i:124669,Darkmoon Daggermaw,830,830,80043,Multiple Sellers,Etlol,1638105042,Auction
i:114850,?,1,2,450,Merchant,Etlol,1638111984,Vendor
i:128647,?,1,1,27000,Merchant,Etlol,1638271515,Vendor
i:128647,?,20,80,27000,Merchant,Etlol,1638271530,Vendor
i:180595,Nightforged Steel,190,190,1,Merchant,Etlol,1638740010,Vendor
i:171349,Potion of Phantom Fire,4,4,1316600,Sharký,Etlol,1638740219,Auction
i:171276,Spectral Flask of Power,61,61,2986000,Onedayy,Etlol,1638740229,Auction
i:171437,Shaded Sharpening Stone,4,4,299900,Skarrd,Etlol,1638740301,Auction
i:171276,Spectral Flask of Power,5,5,2986000,Onedayy,Etlol,1638740336,Auction
i:171349,Potion of Phantom Fire,4,4,1316600,Multiple Sellers,Etlol,1638740353,Auction
i:171285,Shadowcore Oil,4,4,100000,Onedayy,Etlol,1638740378,Auction
i:174283,Stygian Stew,5,10,7500,Merchant,Etlol,1638811240,Vendor
i:173129,Versatile Jewel Cluster,1,1,259900,Scrutiny,Etlol,1638881488,Auction
i:90146,Tinker's Kit,1,1,20000,Merchant,Etlol,1638969601,Vendor
i:172416,Enchant Bracers - Shaded Hearthing,1,1,924600,Cherrybullet,Etlol,1638969742,Auction
i:172408,Enchant Gloves - Eternal Strength,1,1,799000,Qingtian,Etlol,1638969828,Auction
i:186684,Memories of Brighter Times,1,1,8713,Merchant,Etlol,1638971614,Vendor
