itemString,itemName,stackSize,quantity,price,otherPlayer,player,time,source
i:20856,Design: Heavy Golden Necklace of Battle,1,1,1425,Merchant,Etlol,1662922144,Vendor
i:6256,Fishing Pole,1,1,22,Merchant,Etlol,1662922417,Vendor
i:33034,Gordok Grog,1,3,400,Merchant,Etlol,1664620216,Vendor
i:34022,Stout Shrunken Head,1,1,400,Merchant,Etlol,1664620389,Vendor
